# 小红书平台规则库
# 格式: [规则类别]|[违规词/模式]|[建议替换]|[严重程度]
# 严重程度: fatal(致命) / serious(严重) / warning(警告)

# 广告法违规
广告法|最[^,.]*的|替换为较为主观的描述|fatal
广告法|第一|替换为「领先」「前列」|fatal
广告法|顶级|替换为「优质」「出色」|fatal
广告法|最佳|替换为「很不错」「推荐」|fatal
广告法|唯一|替换为「少有」「难得」|serious
广告法|绝对|删除或弱化|serious
广告法|100%|替换为「大部分」「很多」|serious
广告法|永不|替换为「持久」「长效」|warning
广告法|万能|替换为「多用途」「适用广」|warning

# 虚假宣传
虚假宣传|立竿见影|替换为「逐渐见效」「坚持使用」|serious
虚假宣传|彻底根治|替换为「改善」「缓解」|fatal
虚假宣传|无效退款|删除或替换为「不满意可沟通」|serious
虚假宣传|医院同款|删除|serious
虚假宣传|医生推荐|删除或提供真实依据|serious
虚假宣传|明星同款|删除或确认授权|warning

# 行业限制词 — 医疗
医疗限制|治疗|替换为「调理」「养护」（非医疗产品）|serious
医疗限制|疗效|替换为「效果」「感受」|serious
医疗限制|处方|删除|fatal
医疗限制|药用|删除或确认资质|serious
医疗限制|抗炎|替换为「舒缓」|serious

# 行业限制词 — 金融
金融限制|保本|替换为「稳健」「低风险」|fatal
金融限制|稳赚|替换为「有机会」「可能」|fatal
金融限制|收益率.*%|删除具体数字或加风险提示|serious
金融限制|零风险|替换为「风险较低」|fatal

# 行业限制词 — 美妆特殊用途
美妆限制|美白|确认是否有特妆批文|serious
美妆限制|祛斑|确认是否有特妆批文|serious
美妆限制|防晒.*SPF|确认是否有特妆批文|warning
美妆限制|药妆|删除|serious
美妆限制|医学护肤|替换为「温和配方」|serious

# 平台禁用词
平台禁用|加微信|替换为「私信」「评论区」|serious
平台禁用|加V|替换为「私信」|serious
平台禁用|公众号|替换为「主页」|serious
平台禁用|淘宝|替换为「某宝」「购物平台」|warning
平台禁用|抖音|替换为「其他平台」|warning
平台禁用|最低价|替换为「很划算」「性价比高」|serious
平台禁用|全网最低|删除|fatal
平台禁用|关注有礼|替换为「感谢关注」|warning
平台禁用|点赞收藏|替换为「喜欢的话记得互动哦」|warning
